316,299,316,299
582,451,582,451
322,248,322,248
471,402,471,402
426,346,426,346
569,284,569,284
265,293,265,293
575,232,575,232
621,289,621,289
477,352,477,352
420,396,420,396
328,465,328,465
270,242,270,242
627,238,627,238
577,503,577,503
276,460,276,460
635,457,635,457
321,517,321,517
270,511,270,511
630,509,630,509
467,347,467,347
461,398,461,398
416,341,416,341
572,446,572,446
306,294,306,294
559,280,559,280
411,392,411,392
255,288,255,288
260,236,260,236
312,243,312,243
565,229,565,229
611,285,611,285
617,234,617,234
566,497,566,497
318,460,318,460
624,452,624,452
266,455,266,455
311,513,311,513
618,504,618,504
260,507,260,507
316,299,316,299
322,248,322,248
582,451,582,451
471,402,471,402
426,346,426,346
265,293,265,293
569,284,569,284
575,232,575,232
476,351,476,351
621,289,621,289
420,396,420,396
328,465,328,465
270,242,270,242
627,238,627,238
577,502,577,502
277,459,277,459
635,457,635,457
322,516,322,516
270,511,270,511
629,509,629,509
417,341,417,341
468,347,468,347
307,294,307,294
572,446,572,446
462,398,462,398
411,392,411,392
261,236,261,236
566,228,566,228
560,280,560,280
313,242,313,242
617,234,617,234
318,460,318,460
255,287,255,287
611,286,611,286
567,497,567,497
267,455,267,455
624,452,624,452
312,512,312,512
619,504,619,504
260,507,260,507
455,395,455,395
461,344,461,344
565,442,565,442
410,339,410,339
305,240,305,240
552,276,552,276
404,389,404,389
299,291,299,291
558,225,558,225
609,231,609,231
247,285,247,285
604,282,604,282
253,233,253,233
312,458,312,458
560,493,560,493
616,448,616,448
260,453,260,453
611,499,611,499
306,510,306,510
253,505,253,505
407,338,407,338
550,276,550,276
401,388,401,388
556,225,556,225
458,343,458,343
296,290,296,290
302,238,302,238
452,394,452,394
561,442,561,442
607,231,607,231
250,232,250,232
556,493,556,493
601,282,601,282
244,284,244,284
308,457,308,457
613,448,613,448
256,452,256,452
607,499,607,499
302,509,302,509
249,504,249,504
410,339,410,339
565,443,565,443
553,277,553,277
455,395,455,395
461,345,461,345
559,226,559,226
253,233,253,233
604,283,604,283
300,291,300,291
248,285,248,285
306,240,306,240
404,389,404,389
559,494,559,494
610,232,610,232
311,458,311,458
616,449,616,449
259,453,259,453
611,500,611,500
305,510,305,510
253,505,253,505
407,338,407,338
458,344,458,344
452,395,452,395
550,277,550,277
302,239,302,239
562,442,562,442
556,226,556,226
401,389,401,389
244,284,244,284
250,233,250,233
601,282,601,282
297,291,297,291
308,458,308,458
607,231,607,231
556,493,556,493
613,448,613,448
256,452,256,452
608,500,608,500
302,510,302,510
250,505,250,505
563,443,563,443
246,284,246,284
409,338,409,338
304,239,304,239
558,226,558,226
252,233,252,233
403,389,403,389
603,283,603,283
460,345,460,345
552,278,552,278
298,291,298,291
454,395,454,395
609,232,609,232
558,494,558,494
310,458,310,458
614,449,614,449
258,452,258,452
609,501,609,501
303,510,303,510
251,504,251,504
551,277,551,277
409,339,409,339
252,233,252,233
298,291,298,291
558,226,558,226
609,232,609,232
563,443,563,443
460,345,460,345
403,389,403,389
603,283,603,283
304,239,304,239
454,395,454,395
558,494,558,494
246,285,246,285
310,458,310,458
615,449,615,449
258,453,258,453
609,501,609,501
303,510,303,510
251,504,251,504
551,277,551,277
409,339,409,339
246,285,246,285
454,395,454,395
304,240,304,240
252,233,252,233
298,291,298,291
460,345,460,345
564,443,564,443
558,494,558,494
403,389,403,389
558,226,558,226
603,283,603,283
609,232,609,232
310,458,310,458
615,449,615,449
258,453,258,453
610,500,610,500
304,510,304,510
252,506,252,506
551,277,551,277
409,339,409,339
304,240,304,240
564,443,564,443
454,395,454,395
298,292,298,292
403,390,403,390
557,226,557,226
460,344,460,344
603,282,603,282
246,285,246,285
251,234,251,234
608,231,608,231
559,494,559,494
310,458,310,458
615,448,615,448
610,500,610,500
258,453,258,453
304,511,304,511
252,505,252,505
551,277,551,277
409,339,409,339
252,233,252,233
298,291,298,291
558,226,558,226
563,443,563,443
609,232,609,232
460,345,460,345
304,239,304,239
403,389,403,389
603,283,603,283
454,395,454,395
558,494,558,494
246,285,246,285
310,458,310,458
615,449,615,449
258,453,258,453
609,500,609,500
303,510,303,510
251,504,251,504
